config,strategy,asset,return_pct,mdd,sharpe,trades,win_rate,pf
baseline,mlp,BTC,47.97,-14.29,0.62,139,71.9,1.46
baseline,mlp,ETH,33.23,-12.56,0.52,476,86.1,1.39
baseline,mlp,SOL,1225.93,-94.35,0.81,7,14.3,149.63
baseline,short,BTC,-4.66,-4.76,-1.28,399,70.2,0.65
baseline,short,ETH,-5.32,-5.62,-1.33,397,67.3,0.65
baseline,short,SOL,-2.54,-3.55,-0.45,338,68.9,0.89
baseline,sideways,BTC,-0.75,-0.85,-0.71,224,47.3,0.88
baseline,sideways,ETH,-0.98,-1.18,-0.86,173,43.4,0.74
baseline,sideways,SOL,-0.39,-0.61,-0.5,122,48.4,0.9
v2_full,mlp,BTC,52.43,-16.56,0.67,129,72.9,1.54
v2_full,mlp,ETH,32.09,-16.49,0.51,438,86.1,1.39
v2_full,mlp,SOL,1229.34,-94.35,0.81,7,14.3,154.44
v2_full,short,BTC,-0.18,-0.24,-0.47,2,0.0,0.0
v2_full,short,ETH,-0.07,-0.07,-0.45,1,0.0,0.0
v2_full,short,SOL,-0.15,-0.24,-0.22,3,66.7,0.4
v2_full,sideways,BTC,-0.07,-0.22,-0.13,77,51.9,1.1
v2_full,sideways,ETH,-0.08,-0.28,-0.12,62,51.6,1.06
v2_full,sideways,SOL,0.21,-0.23,0.44,40,62.5,1.75
v2_no_mtf,mlp,BTC,50.2,-16.63,0.65,132,72.7,1.51
v2_no_mtf,mlp,ETH,33.77,-16.49,0.53,445,86.3,1.41
v2_no_mtf,mlp,SOL,1227.62,-94.35,0.81,7,14.3,151.99
v2_no_mtf,short,BTC,0.0,0.0,0.0,0,0.0,0.0
v2_no_mtf,short,ETH,0.0,0.0,0.0,0,0.0,0.0
v2_no_mtf,short,SOL,-0.07,-0.07,-0.5,1,0.0,0.0
v2_no_mtf,sideways,BTC,-0.1,-0.26,-0.17,78,51.3,1.07
v2_no_mtf,sideways,ETH,-0.11,-0.28,-0.18,62,50.0,1.01
v2_no_mtf,sideways,SOL,0.16,-0.23,0.33,40,60.0,1.59
v2_no_bbw,mlp,BTC,52.43,-16.56,0.67,129,72.9,1.54
v2_no_bbw,mlp,ETH,39.38,-13.63,0.6,441,86.4,1.46
v2_no_bbw,mlp,SOL,1229.34,-94.35,0.81,7,14.3,154.44
v2_no_bbw,short,BTC,-0.11,-0.11,-0.41,1,0.0,0.0
v2_no_bbw,short,ETH,0.0,0.0,0.0,0,0.0,0.0
v2_no_bbw,short,SOL,-0.17,-0.24,-0.24,2,50.0,0.31
v2_no_bbw,sideways,BTC,-0.09,-0.21,-0.16,78,51.3,1.08
v2_no_bbw,sideways,ETH,-0.01,-0.28,-0.02,60,53.3,1.15
v2_no_bbw,sideways,SOL,0.1,-0.23,0.21,39,59.0,1.41
v2_no_vol,mlp,BTC,48.7,-16.63,0.64,131,72.5,1.5
v2_no_vol,mlp,ETH,32.09,-16.49,0.51,438,86.1,1.39
v2_no_vol,mlp,SOL,1229.34,-94.35,0.81,7,14.3,154.44
v2_no_vol,short,BTC,-0.11,-0.11,-0.41,1,0.0,0.0
v2_no_vol,short,ETH,-0.07,-0.07,-0.45,1,0.0,0.0
v2_no_vol,short,SOL,-0.15,-0.24,-0.22,3,66.7,0.4
v2_no_vol,sideways,BTC,-0.04,-0.2,-0.07,76,52.6,1.15
v2_no_vol,sideways,ETH,-0.02,-0.28,-0.04,60,53.3,1.14
v2_no_vol,sideways,SOL,0.22,-0.23,0.47,40,62.5,1.81
regime_only,mlp,BTC,50.2,-16.63,0.65,132,72.7,1.51
regime_only,mlp,ETH,38.66,-13.63,0.59,447,86.6,1.45
regime_only,mlp,SOL,1227.62,-94.35,0.81,7,14.3,151.99
regime_only,short,BTC,0.0,0.0,0.0,0,0.0,0.0
regime_only,short,ETH,0.0,0.0,0.0,0,0.0,0.0
regime_only,short,SOL,-0.07,-0.07,-0.5,1,0.0,0.0
regime_only,sideways,BTC,-0.13,-0.26,-0.21,81,50.6,1.04
regime_only,sideways,ETH,-0.07,-0.28,-0.12,60,51.7,1.06
regime_only,sideways,SOL,0.14,-0.23,0.28,38,60.5,1.52
