asset,variant,return_pct,mdd_pct,sharpe,trades,win_rate_pct,bh_pct,alpha_vs_bh_pct,stage1,trigger,trail
BTC,baseline_v1,-16.00,-24.97,-0.63,5,20.00,119.21,-135.21,,,12.0
BTC,trend_stage_v2_grid,-7.35,-17.33,-0.30,7,28.57,119.21,-126.56,0.35,0.8,10.0
BTC,trend_stage_v2_grid,-10.81,-19.79,-0.46,7,28.57,119.21,-130.02,0.35,0.8,12.0
BTC,trend_stage_v2_grid,-16.67,-23.50,-0.73,7,28.57,119.21,-135.87,0.35,0.8,14.0
BTC,trend_stage_v2_grid,-7.86,-17.79,-0.33,7,28.57,119.21,-127.07,0.35,1.5,10.0
BTC,trend_stage_v2_grid,-11.31,-20.24,-0.49,7,28.57,119.21,-130.52,0.35,1.5,12.0
BTC,trend_stage_v2_grid,-17.13,-23.92,-0.77,7,28.57,119.21,-136.33,0.35,1.5,14.0
BTC,trend_stage_v2_grid,-9.28,-18.35,-0.45,7,28.57,119.21,-128.48,0.35,2.5,10.0
BTC,trend_stage_v2_grid,-12.66,-20.77,-0.61,7,28.57,119.21,-131.87,0.35,2.5,12.0
BTC,trend_stage_v2_grid,-18.38,-25.08,-0.90,7,28.57,119.21,-137.59,0.35,2.5,14.0
BTC,trend_stage_v2_grid,-6.84,-17.01,-0.27,7,28.57,119.21,-126.05,0.45,0.8,10.0
BTC,trend_stage_v2_grid,-10.33,-19.48,-0.44,7,28.57,119.21,-129.54,0.45,0.8,12.0
BTC,trend_stage_v2_grid,-16.22,-23.09,-0.71,7,28.57,119.21,-135.42,0.45,0.8,14.0
BTC,trend_stage_v2_grid,-7.25,-17.37,-0.30,7,28.57,119.21,-126.46,0.45,1.5,10.0
BTC,trend_stage_v2_grid,-10.72,-19.83,-0.46,7,28.57,119.21,-129.93,0.45,1.5,12.0
BTC,trend_stage_v2_grid,-16.57,-23.42,-0.73,7,28.57,119.21,-135.78,0.45,1.5,14.0
BTC,trend_stage_v2_grid,-8.35,-17.80,-0.38,7,28.57,119.21,-127.56,0.45,2.5,10.0
BTC,trend_stage_v2_grid,-11.78,-20.24,-0.55,7,28.57,119.21,-130.99,0.45,2.5,12.0
BTC,trend_stage_v2_grid,-17.56,-24.32,-0.83,7,28.57,119.21,-136.77,0.45,2.5,14.0
BTC,trend_stage_v2_grid,-6.34,-16.69,-0.24,7,28.57,119.21,-125.55,0.55,0.8,10.0
BTC,trend_stage_v2_grid,-9.85,-19.17,-0.41,7,28.57,119.21,-129.05,0.55,0.8,12.0
BTC,trend_stage_v2_grid,-15.76,-22.68,-0.68,7,28.57,119.21,-134.97,0.55,0.8,14.0
BTC,trend_stage_v2_grid,-6.63,-16.95,-0.26,7,28.57,119.21,-125.84,0.55,1.5,10.0
BTC,trend_stage_v2_grid,-10.12,-19.42,-0.43,7,28.57,119.21,-129.33,0.55,1.5,12.0
BTC,trend_stage_v2_grid,-16.02,-22.92,-0.70,7,28.57,119.21,-135.23,0.55,1.5,14.0
BTC,trend_stage_v2_grid,-7.42,-17.26,-0.32,7,28.57,119.21,-126.63,0.55,2.5,10.0
